编号,文件类型,分数,评语
Ch4-X-1,latex,9.7,基本，4.7  系数有误 -2，4.10 （1）系数有误 -1，分数按/10给出
Ch4-X-2,latex,8.7,基本，4.1 （2）有误 -1，4.7 系数有误，结果有误 -2，4.8 错误 -10，分数按/10给出
Ch4-X-3,latex,10,基本，分数按/10给出
Ch4-X-4,latex,9.5,基本，4.10 （2）错误 -5
Ch4-X-5,latex,5.5,基本，4.5 错误 -10，4.6 错误 -10，4.7 没有计算 -5，4.8 错误 -10，4.10错误 -10，进阶没写完算基本
Ch4-X-6,md,8.8,4.7 答案计算错误 -2，4.10 （1）错误（2）没有完成 -10
Ch4-X-7,md,9.8,4.1 （2）计算错误 -2
Ch4-X-8,latex,6.6,4.5 递推关系有问题 -10，4.6 递推关系有问题 -10，4.7 系数错误 -2，4.8 系数错误 -2，4.10 （1）递推关系错误，（2）也错误 -10 
Ch4-X-9,md,6.9,4.6 错误 -10，4.7 没有做 -10，4.9 （3）最终答案有误 -1，4.10 （1）错误（2）没有做 -10
Ch4-X-10,md,8.8,4.7 系数没有算 -2，4.10 错误 -10
Ch4-X-11,latex,9,基本，4.10 错误 -10
Ch4-X-12,latex,9.5,4.10 （2）错误 -5
Ch4-X-13,latex,10,分数按/10给出
Ch4-X-14,latex,10,分数按/10给出
Ch4-X-15,latex,10,分数按/10给出
